Category,AY,Manhattan,Bronx,Brooklyn,Queens,Staten_Island
Funding_per_Pupil,2018-19,22808,23984,24100,20920,21913
Funding_per_Pupil,2019-20,23752,25354,24909,21543,23148
Funding_per_Pupil,2020-21,24475,25936,25263,21864,23605
Funding_per_Pupil,2021-22,28692,30881,29876,25949,27050
Instructional_Media,2018-19,3494,3012,4172,6062,9762
Instructional_Media,2019-20,69097,62485,72829,101370,165024
Instructional_Media,2020-21,71049,69391,78035,105600,160869
Instructional_Media,2021-22,105264,108782,117632,161635,244042
Pupil_Support_Services,2018-19,345364,356250,402673,550524,801199
Pupil_Support_Services,2019-20,568684,663287,735974,888930,1544930
Pupil_Support_Services,2020-21,591604,671933,737596,942063,1518041
Pupil_Support_Services,2021-22,712778,841788,842385,1021632,1729150
