id,District,Category,Cohort_Year,Cohort,Total_Cohort,Number_Grads,Percent_Grads
1,1,Asian,2018,4 year August,224,178,79.5
2,1,Black,2018,4 year August,163,114,69.9
3,1,Hispanic,2018,4 year August,304,208,68.4
4,1,Multi-Racial,2018,4 year August,15,12,80
5,1,Native American,2018,4 year August,15,11,73.3
6,1,White,2018,4 year August,165,155,93.9
7,2,Asian,2018,4 year August,1537,1459,94.9
8,2,Black,2018,4 year August,1590,1292,81.3
9,2,Hispanic,2018,4 year August,4030,3130,77.7
10,2,Multi-Racial,2018,4 year August,232,215,92.7
11,2,Native American,2018,4 year August,82,61,74.4
12,2,White,2018,4 year August,1294,1158,89.5
13,3,Asian,2018,4 year August,218,213,97.7
14,3,Black,2018,4 year August,398,313,78.6
15,3,Hispanic,2018,4 year August,737,624,84.7
16,3,Multi-Racial,2018,4 year August,150,141,94
17,3,Native American,2018,4 year August,12,7,58.3
18,3,White,2018,4 year August,638,605,94.8
19,4,Asian,2018,4 year August,133,128,96.2
20,4,Black,2018,4 year August,245,194,79.2
21,4,Hispanic,2018,4 year August,519,461,88.8
22,4,Multi-Racial,2018,4 year August,13,13,100
23,4,Native American,2018,4 year August,13,12,92.3
24,4,White,2018,4 year August,47,42,89.4
25,5,Asian,2018,4 year August,37,35,94.6
26,5,Black,2018,4 year August,373,258,69.2
27,5,Hispanic,2018,4 year August,297,214,72.1
28,5,Multi-Racial,2018,4 year August,27,24,88.9
29,5,Native American,2018,4 year August,21,14,66.7
30,5,White,2018,4 year August,71,65,91.5
31,6,Asian,2018,4 year August,32,30,93.8
32,6,Black,2018,4 year August,171,129,75.4
33,6,Hispanic,2018,4 year August,1094,907,82.9
34,6,Multi-Racial,2018,4 year August,4,4,100
35,6,Native American,2018,4 year August,8,8,100
36,6,White,2018,4 year August,26,17,65.4
37,7,Asian,2018,4 year August,24,21,87.5
38,7,Black,2018,4 year August,450,330,73.3
39,7,Hispanic,2018,4 year August,1137,844,74.2
40,7,Native American,2018,4 year August,17,13,76.5
41,7,White,2018,4 year August,24,16,66.7
42,8,Asian,2018,4 year August,107,94,87.9
43,8,Black,2018,4 year August,405,291,71.9
44,8,Hispanic,2018,4 year August,971,722,74.4
45,8,Multi-Racial,2018,4 year August,6,3,50
46,8,Native American,2018,4 year August,30,23,76.7
47,8,White,2018,4 year August,97,77,79.4
48,9,Asian,2018,4 year August,32,30,93.8
49,9,Black,2018,4 year August,612,452,73.9
50,9,Hispanic,2018,4 year August,1329,1068,80.4
51,9,Multi-Racial,2018,4 year August,9,6,66.7
52,9,Native American,2018,4 year August,18,14,77.8
53,9,White,2018,4 year August,27,20,74.1
54,10,Asian,2018,4 year August,617,603,97.7
55,10,Black,2018,4 year August,632,541,85.6
56,10,Hispanic,2018,4 year August,2073,1700,82
57,10,Multi-Racial,2018,4 year August,55,49,89.1
58,10,Native American,2018,4 year August,42,36,85.7
59,10,White,2018,4 year August,302,284,94
60,11,Asian,2018,4 year August,131,114,87
61,11,Black,2018,4 year August,842,692,82.2
62,11,Hispanic,2018,4 year August,987,764,77.4
63,11,Multi-Racial,2018,4 year August,17,12,70.6
64,11,Native American,2018,4 year August,38,31,81.6
65,11,White,2018,4 year August,149,128,85.9
66,12,Asian,2018,4 year August,21,17,81
67,12,Black,2018,4 year August,322,222,68.9
68,12,Hispanic,2018,4 year August,912,669,73.4
69,12,Multi-Racial,2018,4 year August,6,3,50
70,12,Native American,2018,4 year August,18,13,72.2
71,12,White,2018,4 year August,23,20,87
72,13,Asian,2018,4 year August,973,944,97
73,13,Black,2018,4 year August,915,818,89.4
74,13,Hispanic,2018,4 year August,394,336,85.3
75,13,Multi-Racial,2018,4 year August,52,48,92.3
76,13,Native American,2018,4 year August,21,19,90.5
77,13,White,2018,4 year August,396,367,92.7
78,14,Asian,2018,4 year August,177,170,96
79,14,Black,2018,4 year August,312,277,88.8
80,14,Hispanic,2018,4 year August,813,699,86
81,14,Multi-Racial,2018,4 year August,36,31,86.1
82,14,Native American,2018,4 year August,18,16,88.9
83,14,White,2018,4 year August,73,55,75.3
84,15,Asian,2018,4 year August,115,104,90.4
85,15,Black,2018,4 year August,555,455,82
86,15,Hispanic,2018,4 year August,666,486,73
87,15,Multi-Racial,2018,4 year August,57,48,84.2
88,15,Native American,2018,4 year August,19,14,73.7
