DBN,Borough,District,school_name,Grad_Rate,Rigorous_Instr,Collaborative,Supportive,Leadership,FamilyComm,Trust,Student_Resp,Parent_Resp
01M292,Manhattan,1,Orchard Collegiate Academy,90.9,73,88,80,87,81,90,84,27
01M448,Manhattan,1,University Neighborhood High School,98.3,83,93,86,94,85,95,82,38
01M450,Manhattan,1,East Side Community School,97.8,82,89,81,89,92,92,83,54
01M539,Manhattan,1,"New Explorations into Science, Technology and Math High School",99.5,80,85,78,82,93,90,75,41
01M696,Manhattan,1,Bard High School Early College,98.6,79,78,77,80,87,90,77,39
02M047,Manhattan,2,47 The American Sign Language and English Secondary School,98.4,78,79,77,74,92,84,90,14
02M135,Manhattan,2,The Urban Assembly School for Emergency Management,96,71,75,75,63,85,80,89,31
02M139,Manhattan,2,Stephen T. Mather Building Arts & Craftsmanship High School,84.4,78,92,82,91,86,91,76,33
02M260,Manhattan,2,The Clinton School,99.2,75,69,73,72,81,82,52,39
02M280,Manhattan,2,Manhattan Early College School for Advertising,94.8,68,68,72,63,82,80,6,13
02M282,Manhattan,2,Urban Assembly Maker Academy,95.1,77,82,81,79,84,87,77,31
02M288,Manhattan,2,Food and Finance High School,89.8,69,65,69,71,83,79,65,28
02M294,Manhattan,2,Essex Street Academy,96,82,87,81,85,89,92,84,45
02M296,Manhattan,2,High School of Hospitality Management,75.4,72,77,79,75,78,86,46,15
02M298,Manhattan,2,Pace High School,88.1,74,80,75,81,87,87,43,7
02M300,Manhattan,2,"Urban Assembly School of Design and Construction, The",75.4,71,83,83,87,88,91,69,9
02M303,Manhattan,2,"Facing History School, The",91.6,80,94,79,94,87,92,68,24
02M305,Manhattan,2,"Urban Assembly Academy of Government and Law, The",90.1,83,94,79,92,92,91,92,41
02M308,Manhattan,2,Lower Manhattan Arts Academy,85.1,69,63,70,75,80,83,62,16
02M316,Manhattan,2,"Urban Assembly School of Business for Young Women, the",96.3,90,98,92,99,95,98,64,26
02M374,Manhattan,2,Gramercy Arts High School,98,75,73,70,67,84,80,66,13
