id,District,Category,Cohort_Year,Cohort,Total_Cohort,Number_Grads,Percent_Grads
1,Not SWD,2018,4 year August,715,579,81.0,
1,SWD,2018,4 year August,171,99,57.9,
2,Not SWD,2018,4 year August,7249,6196,85.5,
2,SWD,2018,4 year August,1516,1119,73.8,
3,Not SWD,2018,4 year August,1792,1673,93.4,
3,SWD,2018,4 year August,361,230,63.7,
4,Not SWD,2018,4 year August,774,717,92.6,
4,SWD,2018,4 year August,196,133,67.9,
5,Not SWD,2018,4 year August,591,502,84.9,
5,SWD,2018,4 year August,235,108,46.0,
6,Not SWD,2018,4 year August,1085,964,88.8,
6,SWD,2018,4 year August,250,131,52.4,
7,Not SWD,2018,4 year August,1169,951,81.4,
7,SWD,2018,4 year August,488,272,55.7,
8,Not SWD,2018,4 year August,1167,964,82.6,
8,SWD,2018,4 year August,449,246,54.8,
9,Not SWD,2018,4 year August,1475,1273,86.3,
9,SWD,2018,4 year August,552,317,57.4,
10,Not SWD,2018,4 year August,3033,2751,90.7,
10,SWD,2018,4 year August,688,462,67.2,
11,Not SWD,2018,4 year August,1615,1423,88.1,
11,SWD,2018,4 year August,549,318,57.9,
12,Not SWD,2018,4 year August,950,767,80.7,
12,SWD,2018,4 year August,352,177,50.3,
13,Not SWD,2018,4 year August,2477,2336,94.3,
13,SWD,2018,4 year August,274,196,71.5,
14,Not SWD,2018,4 year August,1130,1026,90.8,
14,SWD,2018,4 year August,299,222,74.2,
15,Not SWD,2018,4 year August,1231,1049,85.2,
15,SWD,2018,4 year August,398,240,60.3,
16,Not SWD,2018,4 year August,291,216,74.2,
16,SWD,2018,4 year August,128,59,46.1,
17,Not SWD,2018,4 year August,1427,1239,86.8,
17,SWD,2018,4 year August,340,214,62.9,
18,Not SWD,2018,4 year August,663,514,77.5,
18,SWD,2018,4 year August,244,127,52.0,
19,Not SWD,2018,4 year August,983,881,89.6,
19,SWD,2018,4 year August,311,207,66.6,
20,Not SWD,2018,4 year August,2785,2366,85.0,
20,SWD,2018,4 year August,548,304,55.5,
21,Not SWD,2018,4 year August,2193,1914,87.3,
21,SWD,2018,4 year August,497,326,65.6,
22,Not SWD,2018,4 year August,2153,2016,93.6,
22,SWD,2018,4 year August,455,300,65.9,
23,Not SWD,2018,4 year August,265,189,71.3,
23,SWD,2018,4 year August,137,64,46.7,
24,Not SWD,2018,4 year August,2777,2492,89.7,
24,SWD,2018,4 year August,593,401,67.6,
25,Not SWD,2018,4 year August,2024,1780,87.9,
25,SWD,2018,4 year August,358,238,66.5,
26,Not SWD,2018,4 year August,2818,2682,95.2,
26,SWD,2018,4 year August,536,430,80.2,
27,Not SWD,2018,4 year August,2310,2004,86.8,
27,SWD,2018,4 year August,566,375,66.3,
28,Not SWD,2018,4 year August,3056,2827,92.5,
28,SWD,2018,4 year August,584,397,68.0,
29,Not SWD,2018,4 year August,810,726,89.6,
29,SWD,2018,4 year August,218,102,46.8,
30,Not SWD,2018,4 year August,1966,1778,90.4,
30,SWD,2018,4 year August,432,302,69.9,
31,Not SWD,2018,4 year August,3502,3212,91.7,
31,SWD,2018,4 year August,1066,732,68.7,
32,Not SWD,2018,4 year August,480,415,86.5,
32,SWD,2018,4 year August,165,104,63.0,
